id,user_id,business_id,business_branch_id
1,1,1,1
2,2,1,1
3,3,1,1
4,4,1,1
5,5,2,4
6,6,2,3
7,7,2,3
8,8,3,6
9,9,3,6
10,10,3,5
11,11,3,5
12,12,3,5
13,13,3,5
14,14,3,5
15,15,3,5
16,16,4,10
17,17,4,9
18,18,4,8
19,19,4,9
20,20,4,10
21,21,4,10
22,22,5,16
23,23,5,11
24,24,5,11
25,25,5,14
26,26,5,14
27,27,5,15
28,28,5,15
29,29,5,15
30,30,5,14
31,31,5,16
32,32,5,12
33,33,5,13
34,34,6,18
35,35,6,17
36,36,6,18
37,37,6,17
38,38,7,19
39,39,7,19
40,40,7,19
41,41,8,22
42,42,8,20
43,43,8,22
44,44,8,23
45,45,8,21
46,46,9,24
47,47,9,24
48,48,9,24
49,49,9,24
50,50,9,24
51,51,10,27
52,52,10,25
53,53,10,25
54,54,10,25
55,55,11,28
56,56,11,28
57,57,11,28
58,58,11,28
59,59,11,28
60,60,12,30
61,61,12,29
62,62,12,29
63,63,12,30
64,64,13,31
65,65,13,31
66,66,13,31
67,67,13,31
68,68,13,31
69,69,14,33
70,70,14,32
71,71,14,32
72,72,14,33
73,73,14,34
74,74,14,33
75,75,15,36
76,76,15,40
77,77,15,36
78,78,15,37
79,79,15,36
80,80,15,39
81,81,15,38
82,82,16,44
83,83,16,44
84,84,16,43
85,85,16,44
86,86,16,44
87,87,17,45
88,88,17,45
89,89,17,45
90,90,17,45
91,91,17,45
92,92,18,49
93,93,18,49
94,94,18,47
95,95,18,47
96,96,18,46
97,97,18,47
98,98,18,46
99,99,18,46
100,100,18,46
101,101,18,46
102,102,19,50
103,103,19,50
104,104,19,50
105,105,19,50
106,106,20,52
107,107,20,51
108,108,20,51
109,109,20,53
110,110,20,53
111,111,20,52
112,112,20,52
113,113,21,54
114,114,21,54
115,115,21,55
116,116,21,54
117,117,22,56
118,118,22,56
119,119,22,57
120,120,22,57
121,121,22,57
122,122,23,59
123,123,23,58
124,124,23,60
125,125,23,58
126,126,23,59
127,127,23,59
128,128,24,63
129,129,24,63
130,130,24,65
131,131,24,62
132,132,24,65
133,133,24,64
134,134,24,61
135,135,24,62
136,136,24,64
137,137,24,64
138,138,25,69
139,139,25,69
140,140,25,69
141,141,26,70
142,142,26,70
143,143,26,72
144,144,26,72
145,145,26,70
146,146,26,70
147,147,26,70
148,148,27,73
149,149,27,75
150,150,27,75
151,151,27,77
152,152,27,74
153,153,27,76
154,154,27,75
155,155,27,73
156,156,27,77
157,157,27,73
158,158,27,75
159,159,28,78
160,160,28,78
161,161,28,78
162,162,28,78
163,163,28,78
164,164,29,79
165,165,29,79
166,166,29,79
167,167,30,82
168,168,30,80
169,169,30,81
170,170,30,81
171,171,30,81
172,172,30,80
173,173,30,82
174,174,30,81
175,175,30,82
176,176,30,81
177,177,31,83
178,178,31,83
179,179,31,83
180,180,32,86
181,181,32,84
182,182,32,84
183,183,32,85
184,184,32,84
185,185,33,89
186,186,33,87
187,187,33,87
188,188,33,88
189,189,33,91
190,190,33,91
191,191,33,90
192,192,33,91
193,193,33,87
194,194,34,92
195,195,34,92
196,196,34,92
197,197,34,92
198,198,34,92
199,199,34,92
200,200,34,92
201,201,35,93
202,202,35,93
203,203,35,94
204,204,35,93
205,205,35,93
206,206,36,95
207,207,36,95
208,208,36,95
209,209,36,95
210,210,36,95
211,211,37,98
212,212,37,96
213,213,37,97
214,214,37,96
215,215,38,99
216,216,38,99
217,217,38,99
218,218,39,105
219,219,39,101
220,220,39,103
221,221,39,101
222,222,39,100
223,223,39,103
224,224,39,101
225,225,39,102
226,226,40,106
227,227,40,107
228,228,40,106
229,229,41,109
230,230,41,108
231,231,41,108
232,232,41,109
233,233,42,110
234,234,42,111
235,235,42,110
236,236,42,110
237,237,42,110
238,238,42,110
239,239,42,110
240,240,43,113
241,241,43,112
242,242,43,113
243,243,43,113
244,244,43,114
245,245,43,113
246,246,44,116
247,247,44,115
248,248,44,115
249,249,45,121
250,250,45,122
251,251,45,119
252,252,45,119
253,253,45,122
254,254,45,122
255,255,46,125
256,256,46,124
257,257,46,124
258,258,46,125
259,259,46,125
260,260,46,124
261,261,46,124
262,262,46,125
263,263,47,126
264,264,47,126
265,265,47,126
266,266,47,126
267,267,47,126
268,268,48,127
269,269,48,127
270,270,48,129
271,271,48,128
272,272,48,128
273,273,49,130
274,274,49,130
275,275,49,130
276,276,50,135
277,277,50,133
278,278,50,135
279,279,50,131
280,280,50,132
281,281,50,135
282,282,50,135
283,283,50,133
284,284,50,133
285,285,50,132
286,286,51,137
287,287,51,137
288,288,51,137
289,289,51,136
290,290,51,136
291,291,51,136
292,292,51,137
293,293,52,138
294,294,52,138
295,295,52,138
296,296,53,139
297,297,53,139
298,298,53,140
299,299,53,140
300,300,54,142
301,301,54,142
302,302,54,142
303,303,54,142
304,304,54,142
305,305,55,146
306,306,55,145
307,307,55,144
308,308,55,147
309,309,55,143
310,310,55,147
311,311,55,144
312,312,55,145
313,313,55,146
314,314,55,145
315,315,56,150
316,316,56,149
317,317,56,149
318,318,56,149
319,319,57,151
320,320,57,151
321,321,57,151
322,322,57,151
