id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
503c1b20-8822-4a1b-b85f-7ec1e316c779,5af16a3dd21b4b92a76e7eea5d93e3fe,2023-11-21 04:47:27.000,20220101000000_init,,,2023-11-21 04:47:26.000,3
32d37561-04f2-4e0c-9423-a1b7f6b3f3c9,34daa95f33c346db80242d7f96b79d7f,2023-12-09 06:47:30.000,20220215120000_add_businesses_tier,,,2023-12-09 06:47:26.000,2
02809be1-9aae-4235-8cf0-35a50b6be86d,1d0002ba85f54397b5502cfbc028be9f,2023-12-27 04:47:37.000,20220310090000_add_customer_device,,,2023-12-27 04:47:26.000,5
82fc037d-fb6f-44c4-8161-f954337b8089,89ffe56a1c2d4a1798424a50f4569e94,2024-01-14 04:47:36.000,20220501140000_add_raffles,,,2024-01-14 04:47:26.000,4
7a83a550-f47e-4c94-9e6c-249aa6d27a67,a3059e3131974e45b95b283c9260f868,2024-02-01 03:47:27.000,20220715110000_add_push_notifications,,,2024-02-01 03:47:26.000,1
62b80a5c-ae8d-48e8-8749-168605f9c7a5,e886a45821594975ac85db0b5ba873e4,2024-02-19 06:47:30.000,20221001080000_add_customer_segments,,,2024-02-19 06:47:26.000,5
75bd847d-63b8-4f12-8b54-c29a5279fe87,6b841d6e91b54c558ddf22ea3bc556cb,2024-03-08 12:47:27.000,20221115093000_add_external_tickets,,,2024-03-08 12:47:26.000,5
c477d514-43e8-4319-8351-67d02fcc3822,94c0d7623b5941b5b499b22d688c9be0,2024-03-26 06:47:38.000,20230201100000_add_reviews,,,2024-03-26 06:47:26.000,5
fbd910cd-28ad-4ba6-b6b1-18fd88b885a1,81e1a6fb7982427796bb1409148b7e4a,2024-04-13 09:47:30.000,20230315120000_add_integration_custom_data,,,2024-04-13 09:47:26.000,4
57fd0d92-0f30-4d2b-b401-8d7146dc700e,d6e52f1c0ff24039912966bef70861ba,2024-05-01 12:47:31.000,20230601090000_add_business_branch_locations,,,2024-05-01 12:47:26.000,1
1ac82bdc-5953-4386-9055-fa3da3cc422e,042bc7e498464b9795b2905282a62b72,2024-05-19 05:47:38.000,20230901080000_add_reward_triggers,,,2024-05-19 05:47:26.000,4
217d65b3-d41a-4b16-ba30-e72c6fc1b7b1,cdd7656f50fa4a4db88049d62e013e68,2024-06-06 08:47:31.000,20231201110000_add_automated_push,,,2024-06-06 08:47:26.000,2
9a77077d-44dc-43d7-baee-fa8403985028,e863341eddc742219e9a010c7391029e,2024-06-24 06:47:32.000,20240101090000_add_can_do_exports,,,2024-06-24 06:47:26.000,1
a156cc35-c67d-4231-a20c-05baa7f10fa2,63b9cf3916f349ed9c4ad80eceb0a9b8,2024-07-12 04:47:33.000,20240315120000_add_card_qr_redirect,,,2024-07-12 04:47:26.000,1
cd8d6739-862f-47bf-8831-dcd694ca21cb,4caca0dedc9f4d5586d6892d200b08a4,2024-07-30 08:47:32.000,20240601100000_add_is_ghost_customer,,,2024-07-30 08:47:26.000,5
